"id","code","name","icon"
"231",NULL,"Gift Delivery","gift"
"232",NULL,"Wine","glass-wine"
"233",NULL,"Sausage","sausage"
"234",NULL,"Poultry","food-drumstick"
"235",NULL,"Laundry","hanger"
"236",NULL,"Baked Goods","baguette"
"237",NULL,"Mexican Food","taco"
"238",NULL,"Nut Butter","peanut"
"239",NULL,"Chips","food"
"240",NULL,"Crackers","food"
"241",NULL,"Fruit Snacks","fruit-cherries"
"242",NULL,"Medicine","pill"
"243",NULL,"Yogurt","cup"
"244",NULL,"Skincare","hand-water"
"245",NULL,"Makeup","lipstick"
"246",NULL,"BBQ Sauce","grill"
"247",NULL,"Hot Sauce","chili-mild"
"248",NULL,"Salad Dressing","leaf"
"249",NULL,"Pizza","pizza"
"250",NULL,"Herbs & Spices","shaker"
"251",NULL,"Animals","dog-side"
"252",NULL,"Animal Health","stethoscope"
"253",NULL,"3D Printing","printer"
"254",NULL,"Children","human-child"
"255",NULL,"Toys","toy-brick"
"256",NULL,"Card Games","cards"
"257",NULL,"Financial Technology","cash-multiple"
"258",NULL,"Country","earth"
"259",NULL,"eSports","gamepad-variant"
"260",NULL,"Rice","rice"
"261",NULL,"Biotechnology","bacteria"
"262",NULL,"Glasses","glasses"
"263",NULL,"Photography","camera"
"264",NULL,"Eyewear Retailer","glasses"
"265",NULL,"Tools","wrench"
"266",NULL,"Smoking","cigar"
"267",NULL,"Drugs","pill"
